,img_1,img_2,similarity
12,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_3734_3734_4139.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_3734_3734_4139.tif,1
13,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_4144_4144_2209.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_4144_4144_2209.tif,1
14,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_415_415_10097.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_415_415_10097.tif,1
15,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_42574_42574_14183.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_42574_42574_14183.tif,1
16,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_45094_58497_19103.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_45094_58497_19103.tif,1
17,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_4572_4572_9941.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_4572_4572_9941.tif,1
18,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_50147_50147_9140.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_50147_50147_9140.tif,1
19,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_50193_50193_18159.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_50193_50193_18159.tif,1
20,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_50506_50506_10650.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_50506_50506_10650.tif,1
21,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_51009_56822_1338.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_51009_56822_1338.tif,1
22,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_52033_52033_5357.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_52033_52033_5357.tif,1
23,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_52274_52274_3379.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_52274_52274_3379.tif,1
24,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_52621_52621_2634.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_52621_52621_2634.tif,1
25,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_53236_53236_2817.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_53236_53236_2817.tif,1
26,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_6990_6990_16650.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_6990_6990_16650.tif,1
27,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_7666_7666_17258.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_7666_7666_17258.tif,1
28,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_8283_61893_4578.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_8283_61893_4578.tif,1
29,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_8361_8361_4025.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_8361_8361_4025.tif,1
30,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_8438_8438_4409.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_8438_8438_4409.tif,1
31,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_8590_8590_12034.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_8590_8590_12034.tif,1
32,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_9576_9576_5503.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_9576_9576_5503.tif,1
33,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_9746_9746_3520.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_9746_9746_3520.tif,1
34,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_11503_11503_11110.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_11503_11503_11110.tif,1
35,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_11748_11748_12290.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_11748_11748_12290.tif,1
36,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_12205_12205_8870.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_12205_12205_8870.tif,1
37,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_14542_14542_6409.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_14542_14542_6409.tif,1
38,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_14875_14875_15941.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_14875_14875_15941.tif,1
39,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_14989_14989_9317.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_14989_14989_9317.tif,1
40,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_161_161_15823.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_161_161_15823.tif,1
41,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_17396_17396_2735.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_17396_17396_2735.tif,1
42,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_17785_17785_2272.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_17785_17785_2272.tif,1
43,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_1825_1825_8951.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_1825_1825_8951.tif,1
44,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_18316_18316_2295.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_18316_18316_2295.tif,1
45,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_19330_19330_11316.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_19330_19330_11316.tif,1
46,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_20779_20779_15609.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_20779_20779_15609.tif,1
47,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_21640_21640_12725.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_21640_21640_12725.tif,1
48,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_22176_22176_13086.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_22176_22176_13086.tif,1
49,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_2245_2245_1019.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_2245_2245_1019.tif,1
50,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_2261_2261_367.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_2261_2261_367.tif,1
51,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_23290_23290_12352.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_23290_23290_12352.tif,1
52,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_23774_23774_2473.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_23774_23774_2473.tif,1
53,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_24652_24652_5835.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_24652_24652_5835.tif,1
54,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_25384_25384_8365.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_25384_25384_8365.tif,1
55,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_25750_25750_10092.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_25750_25750_10092.tif,1
56,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_25881_25881_15029.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_25881_25881_15029.tif,1
57,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_29250_29250_13987.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_29250_29250_13987.tif,1
58,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_29390_29390_6315.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_29390_29390_6315.tif,1
59,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_29828_29828_10012.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_29828_29828_10012.tif,1
60,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_31798_31798_13786.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_31798_31798_13786.tif,1
61,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_34008_34008_17734.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_34008_34008_17734.tif,1
62,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_34672_34672_18267.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_34672_34672_18267.tif,1
63,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_34791_34791_437.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_34791_34791_437.tif,1
64,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_34807_34807_13704.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_34807_34807_13704.tif,1
65,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_3545_3545_18625.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_3545_3545_18625.tif,1
66,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_38349_38349_17273.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_38349_38349_17273.tif,1
67,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_38904_38904_17580.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_38904_38904_17580.tif,1
68,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_41374_41374_7710.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_41374_41374_7710.tif,1
69,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_41619_41619_16402.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_41619_41619_16402.tif,1
70,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_42058_42058_9321.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_42058_42058_9321.tif,1
71,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_42985_42985_16331.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_42985_42985_16331.tif,1
72,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_43410_43410_15788.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_43410_43410_15788.tif,1
73,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_44345_44345_8730.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_44345_44345_8730.tif,1
74,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_4511_4511_3834.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_4511_4511_3834.tif,1
