,img_1,img_2,similarity
25,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_24566_24566_10270.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-332-88_13-G_13_704_D-TNBC-Surgery-HnE-40X_cropped_32347_32347_5571.tif,0
26,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_24906_24906_13641.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-332-88_13-G_13_704_D-TNBC-Surgery-HnE-40X_cropped_30153_30153_18993.tif,0
27,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_24906_24906_13641.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_381_349-13_1977-13-A_Biopsy_TNBC_HnE_40X_cropped_36061_5867_8159.tif,0
28,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_25799_25799_8152.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-332-88_13-G_13_704_D-TNBC-Surgery-HnE-40X_cropped_13075_13075_4222.tif,0
29,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_25799_25799_8152.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_322_138-10_126-06F_Biopsy_TNBC_HnE_40x__cropped_11160_11160_7730.tif,0
30,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_27740_27740_19099.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-332-88_13-G_13_704_D-TNBC-Surgery-HnE-40X_cropped_13075_13075_4222.tif,0
31,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_27740_27740_19099.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-332-88_13-G_13_704_D-TNBC-Surgery-HnE-40X_cropped_27986_27986_7364.tif,0
32,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_29015_29015_13849.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_541_528-18_1412-18-A_Biopsy_TNBC_HnE_40X_cropped_5878_11757_2854.tif,0
33,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_29015_29015_13849.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-332-88_13-G_13_704_D-TNBC-Surgery-HnE-40X_cropped_30153_30153_18993.tif,0
34,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_32615_32615_14823.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_543_355-18_898-18_Biopsy_TNBC_HnE_40X_cropped_24471_24471_2788.tif,0
35,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_32615_32615_14823.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_376_220-15_4106-15A_Biopsy_TNBC_HnE_40X_cropped_25237_13990_8725.tif,0
36,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_33048_33048_1655.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_138_848-16_5681-16-A_Biopsy_ER_HnE_40X_cropped_3925_7851_10916.tif,0
37,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_33048_33048_1655.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_10678_10678_16690.tif,0
38,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_33576_33576_5640.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-332-88_13-G_13_704_D-TNBC-Surgery-HnE-40X_cropped_27136_27136_11586.tif,0
39,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_33576_33576_5640.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-332-88_13-G_13_704_D-TNBC-Surgery-HnE-40X_cropped_30153_30153_18993.tif,0
40,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_141_629-16_G16-5499_Biopsy_ER_HnE_40X_cropped_30703_60720_7036.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_541_528-18_1412-18-A_Biopsy_TNBC_HnE_40X_cropped_5878_11757_2854.tif,0
41,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_141_629-16_G16-5499_Biopsy_ER_HnE_40X_cropped_30703_60720_7036.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_2_518-16_G-18-285_Biopsy_ER_HnE_40X_cropped_8341_16682_1636.tif,0
42,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_141_629-16_G16-5499_Biopsy_ER_HnE_40X_cropped_9186_9186_12106.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_52_69-15_G-15-678-A_Biopsy_ER_HnE_40X_cropped_13262_13262_14552.tif,0
43,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_141_629-16_G16-5499_Biopsy_ER_HnE_40X_cropped_9186_9186_12106.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_322_138-10_126-06F_Biopsy_TNBC_HnE_40x__cropped_11160_11160_7730.tif,0
44,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_157_529-14_1747-10-A_Biopsy_ER_HnE_40X_cropped_22421_44843_8035.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-296-284_12-G_12_2412_E-TNBC-Surgery-HnE-40X_cropped_11308_11308_3861.tif,0
45,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_157_529-14_1747-10-A_Biopsy_ER_HnE_40X_cropped_22421_44843_8035.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-296-284_12-G_12_2412_E-TNBC-Surgery-HnE-40X_cropped_27861_27861_17744.tif,0
46,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_169_435_16_3489_16_Biopsy_TNBC_HnE_40x_cropped_25421_5012_15416.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_12743_12743_10827.tif,0
47,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_169_435_16_3489_16_Biopsy_TNBC_HnE_40x_cropped_25421_5012_15416.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-296-284_12-G_12_2412_E-TNBC-Surgery-HnE-40X_cropped_11235_11235_7527.tif,0
48,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_189_639-16_2269-13-_Biopsy_ER_HnE_40X_cropped_35697_35697_13903.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_322_138-10_126-06F_Biopsy_TNBC_HnE_40x__cropped_10763_10763_12035.tif,0
49,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_189_639-16_2269-13-_Biopsy_ER_HnE_40X_cropped_35697_35697_13903.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_543_355-18_898-18_Biopsy_TNBC_HnE_40X_cropped_24471_24471_2788.tif,0
50,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_189_639-16_2269-13-_Biopsy_ER_HnE_40X_cropped_36261_36261_826.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_52_69-15_G-15-678-A_Biopsy_ER_HnE_40X_cropped_15279_15279_6370.tif,0
51,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_189_639-16_2269-13-_Biopsy_ER_HnE_40X_cropped_36261_36261_826.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_2_518-16_G-18-285_Biopsy_ER_HnE_40X_cropped_8341_16682_1636.tif,0
52,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_189_639-16_2269-13-_Biopsy_ER_HnE_40X_cropped_5619_57914_18474.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_10678_10678_16690.tif,0
53,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_189_639-16_2269-13-_Biopsy_ER_HnE_40X_cropped_5619_57914_18474.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_37679_37679_11726.tif,0
54,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_29536_59073_3906.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_52_69-15_G-15-678-A_Biopsy_ER_HnE_40X_cropped_13262_13262_14552.tif,0
55,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_29536_59073_3906.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_326_116-15_G-15-647_Biopsy_TNBC_HnE_40x_cropped_12256_12256_12953.tif,0
56,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_33876_67753_1780.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_343_639-15_G-15-4361_Biopsy_TNBC_HnE_40X_cropped_22905_22905_18897.tif,0
57,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_33876_67753_1780.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_11684_11684_18227.tif,0
58,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_34405_68811_18516.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-587-660_18-1947_18-HER2-Biopsy-HnE-40X_cropped_21636_25963_2357.tif,0
59,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_34405_68811_18516.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_543_355-18_898-18_Biopsy_TNBC_HnE_40X_cropped_22971_22971_18406.tif,0
60,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_38104_76209_16833.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_541_528-18_1412-18-A_Biopsy_TNBC_HnE_40X_cropped_39188_78377_2151.tif,0
61,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_38104_76209_16833.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_376_220-15_4106-15A_Biopsy_TNBC_HnE_40X_cropped_25237_13990_8725.tif,0
62,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_39805_79611_3021.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_138_848-16_5681-16-A_Biopsy_ER_HnE_40X_cropped_3925_7851_10916.tif,0
63,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_39805_79611_3021.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_343_639-15_G-15-4361_Biopsy_TNBC_HnE_40X_cropped_22905_22905_18897.tif,0
64,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_42751_85502_12857.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_330_651-15_G-15-4390_Biopsy_TNBC_HnE_40x_cropped_26377_26377_6155.tif,0
65,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_22_003-15_G-15-08-A_Biopsy_ER_HnE_40X_cropped_42751_85502_12857.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_330_651-15_G-15-4390_Biopsy_TNBC_HnE_40x_cropped_28791_28791_16914.tif,0
66,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_274_635-15_2378-15-1_Biopsy_ER_HnE_40X_cropped_23779_47558_11172.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_326_116-15_G-15-647_Biopsy_TNBC_HnE_40x_cropped_12766_12766_18081.tif,0
67,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_274_635-15_2378-15-1_Biopsy_ER_HnE_40X_cropped_23779_47558_11172.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_138_848-16_5681-16-A_Biopsy_ER_HnE_40X_cropped_3925_7851_10916.tif,0
68,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_274_635-15_2378-15-1_Biopsy_ER_HnE_40X_cropped_24097_48195_3263.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_52_69-15_G-15-678-A_Biopsy_ER_HnE_40X_cropped_15279_15279_6370.tif,0
69,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_274_635-15_2378-15-1_Biopsy_ER_HnE_40X_cropped_24097_48195_3263.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_52_69-15_G-15-678-A_Biopsy_ER_HnE_40X_cropped_13262_13262_14552.tif,0
70,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_274_635-15_2378-15-1_Biopsy_ER_HnE_40X_cropped_24421_48843_16429.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_326_116-15_G-15-647_Biopsy_TNBC_HnE_40x_cropped_12766_12766_18081.tif,0
71,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_274_635-15_2378-15-1_Biopsy_ER_HnE_40X_cropped_24421_48843_16429.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-296-284_12-G_12_2412_E-TNBC-Surgery-HnE-40X_cropped_11308_11308_3861.tif,0
72,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_27_279-13_537-11-A1_Biopsy_TNBC_HnE_40x_cropped_14815_14815_3066.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_326_116-15_G-15-647_Biopsy_TNBC_HnE_40x_cropped_12646_12646_12624.tif,0
73,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_27_279-13_537-11-A1_Biopsy_TNBC_HnE_40x_cropped_14815_14815_3066.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_326_116-15_G-15-647_Biopsy_TNBC_HnE_40x_cropped_12766_12766_18081.tif,0
74,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_27_279-13_537-11-A1_Biopsy_TNBC_HnE_40x_cropped_18887_18887_18067.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_6971_6971_111.tif,0
